,guide_counts
sgNegCtrl02093a|sgFDPSb,1921
sgHMGCRa|sgHUS1b,1557
sgNegCtrl02093a|sgHUS1b,1513
sgNegCtrl02093a|sgNegCtrl3b,1465
sgHUS1a|sgFDPSb,1383
sgPMVKa|sgHUS1b,1080
sgHUS1_2a|sgFDPSb,1061
sgHUS1a|sgNegCtrl3b,983
sgHUS1_2a|sgNegCtrl3b,905
sgHMGCRa|sgFDPSb,879
sgHUS1_2a|sgFDPS_2b,831
sgNegCtrl4a|sgNegCtrl3b,780
sgHUS1a|sgSREBF2b,766
sgATRa|sgFDPSb,658
sgNegCtrl02093a|sgSREBF2b,657
sgFDPSa|sgSREBF2b,637
sgRRM1a|sgFDPSb,616
sgHMGCRa|sgNegCtrl3b,608
sgRRM1a|sgHUS1b,598
sgNegCtrl8a|sgNegCtrl3b,592
sgNegCtrl5a|sgNegCtrl3b,577
sgNegCtrl1a|sgNegCtrl3b,576
sgNegCtrl9a|sgNegCtrl3b,573
sgHMGCRa|sgSREBF2b,567
sgSQLEa|sgFDPSb,560
sgHUS1a|sgFDPS_2b,554
sgHMGCRa|sgSREBF1b,528
sgPMVKa|sgFDPSb,517
sgNegCtrl02093a|sgTOPBP1b,490
sgRAD9Aa|sgNegCtrl3b,467
sgMVDa|sgHUS1b,447
sgFDPSa|sgSREBF1b,446
sgNegCtrl02093a|sgFDPS_2b,439
sgSQLEa|sgHUS1b,402
sgPMVKa|sgNegCtrl3b,389
sgATP5Ea|sgNegCtrl3b,388
sgETAA1a|sgNegCtrl3b,380
sgIDI1a|sgFDPSb,366
sgRAD9Aa|sgFDPSb,331
sgRRM2Ba|sgNegCtrl3b,324
sgATRIPa|sgFDPSb,322
sgMVDa|sgFDPSb,309
sgRAD17a|sgNegCtrl3b,308
sgATRIPa|sgNegCtrl3b,304
sgIDI1a|sgHUS1b,300
sgATMa|sgNegCtrl3b,293
sgAHCYL1a|sgNegCtrl3b,274
sgNegCtrl02093a|sgSREBF1b,258
sgRAD1a|sgFDPSb,258
sgHUS1a|sgSREBF1b,257
sgSQLEa|sgNegCtrl3b,255
sgRRM1a|sgNegCtrl3b,254
sgLIG4a|sgNegCtrl3b,253
sgRAD17a|sgFDPSb,252
sgETAA1a|sgFDPSb,243
sgPRKDCa|sgNegCtrl3b,224
sgNHEJ1a|sgNegCtrl3b,215
sgRRM2Ba|sgFDPSb,214
sgETAA1a|sgTOPBP1b,207
sgTOPBP1a|sgFDPSb,188
sgMVDa|sgNegCtrl3b,184
sgRAD1a|sgNegCtrl3b,175
sgPRKDCa|sgFDPSb,175
sgLIG4a|sgFDPSb,167
sgAHCYL1a|sgFDPSb,164
sgXRCC6a|sgFDPSb,157
sgMTORa|sgNegCtrl3b,152
sgCHEK1a|sgNegCtrl3b,149
sgFDPSa|sgNegCtrl3b,147
sgNHEJ1a|sgFDPSb,137
sgCHEK1a|sgFDPSb,136
sgATRa|sgNegCtrl3b,135
sgIDI1a|sgNegCtrl3b,131
sgHSPE1a|sgNegCtrl3b,124
sgXRCC5a|sgFDPSb,109
sgXRCC5a|sgNegCtrl3b,107
sgTOPBP1a|sgNegCtrl3b,107
sgPOLR1Da|sgNegCtrl3b,103
sgATMa|sgFDPSb,101
sgXRCC6a|sgNegCtrl3b,89
sgDUTa|sgNegCtrl3b,75
sgCADa|sgNegCtrl3b,70
sgRPL15a|sgNegCtrl3b,65
sgRPS18a|sgNegCtrl3b,60
sgHSPA5a|sgNegCtrl3b,53
sgHSPA9a|sgNegCtrl3b,46
sgEIF2S1a|sgNegCtrl3b,33
sgSEC61A1a|sgNegCtrl3b,26
sgRRM2a|sgFDPSb,21
sgGATA1a|sgNegCtrl3b,16
sgPOLR2Ha|sgNegCtrl3b,15
sgRRM2a|sgNegCtrl3b,10
